data_pub,pasta,titular,interino,arquivo
2026-09-22,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA,Danielle Christian Ribeiro Barros,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL E DIREITOS HUMANOS,Patrícia Cardoso Maciel Tavares,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DE ESPORTE E LAZER,Rodrigo Dantas Scorzelli,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DE TURISMO,Lucas Augusto Faria Alves,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,GABINETE DE SEGURANÇA INSTITUCIONAL DO GOVERNO DO ESTADO DO RIO DE JANEIRO,Roberto Lisandro Leão,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DE TRABALHO E RENDA,Daniel Marcos Barbiratto de Almeida,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA EXTRAORDINÁRIA DE REPRESENTAÇÃO DO GOVERNO EM BRASÍLIA,Gustavo Alves Pinto Teixeira,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DE TRANSFORMAÇÃO DIGITAL,Fernando Braga Martins,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PÚBLICAS,Pablo Villarim Gonçalves,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DE HABITAÇÃO DE INTERESSE SOCIAL,Fabio Paravidino da Silva,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DA MULHER E DE POLÍTICAS INCLUSIVAS,Bianca Mara Cruz Pacheco,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DAS CIDADES,Maria Gabriela Bessa da Silva,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DE DEFESA DO CONSUMIDOR,Rogerio da Costa Pimenta,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA,Victor Cesar Carvalho dos Santos,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,PROCURADORIA GERAL DO ESTADO,Bruno Teixeira Dubeux,False,2026-09-22-parte-i-poder-executivo.pdf
2026-09-22,CONTROLADORIA GERAL DO ESTADO,Bruno Campos Pereira,False,2026-09-22-parte-i-poder-executivo.pdf
